id,insee,num_demand,lat,lon,v_commune_2024_Insee_LIBELLE
220,"66119","25",42.68714199,2.36836258,Mosset
747,"66150","31",42.45977239,2.41890946,Prats-de-Mollo-la-Preste
634,"66125","168",42.57874199,2.23827160,Olette
3893,"66150","76",42.44370499,2.39855538,Prats-de-Mollo-la-Preste
3909,"66206","131",42.44866781,2.51716260,Le Tech
3880,"66206","131",42.44329804,2.52406705,Le Tech
77,"66155","7",42.48200064,2.40275190,Py
958,"66119","108",42.68570051,2.29037720,Mosset
181,"66221","44",42.51716793,2.48702522,Valmanya
3882,"66206","131",42.44560455,2.52312422,Le Tech
876,"66183","80",42.54139192,2.61216255,Saint-Marsal
1225,"66147","37",42.56879538,1.81073817,Porté-Puymorens
182,"66221","44",42.51748320,2.48698272,Valmanya
3910,"66206","131",42.44234815,2.52552587,Le Tech
703,"66150","151",42.42152690,2.51094427,Prats-de-Mollo-la-Preste
635,"66157","38",42.58943168,2.17529165,Railleu
1232,"66149","143",42.60132909,2.42760221,Prades
1234,"66149","143",42.60340730,2.43479498,Prades
1242,"66151","175",42.74092688,2.45158038,Prats-de-Sournia
522,"66150","9",42.38420863,2.49102247,Prats-de-Mollo-la-Preste
3787,"66198","69",42.70016880,2.36894571,Sournia
527,"66122","149",42.64871350,2.21546975,Nohèdes
3913,"66122","237",42.64219981,2.26907203,Nohèdes
3914,"66122","237",42.63286078,2.27040590,Nohèdes
303,"66155","7",42.48511855,2.39886136,Py
4012,"66022","209",42.56504851,2.57729654,Boule-d'Amont
1128,"66150","76",42.43964472,2.41759411,Prats-de-Mollo-la-Preste
197,"66013","11",42.57532772,2.52828162,Baillestavy
1438,"66062","48",42.50815111,1.92852860,Dorres
2186,"66221","44",42.52020996,2.48742006,Valmanya
445,"66066","17",42.50529418,1.89027755,Enveitg
534,"66150","35",42.40930747,2.37355039,Prats-de-Mollo-la-Preste
4013,"66022","209",42.56996167,2.56927832,Boule-d'Amont
2904,"66193","126",42.59173490,2.32353836,Serdinya
4014,"66022","209",42.56765573,2.56543710,Boule-d'Amont
759,"66066","17",42.49698218,1.89335528,Enveitg
2993,"66193","126",42.58128421,2.30889000,Serdinya
3912,"66122","237",42.62737358,2.27768189,Nohèdes
3295,"66193","126",42.59346155,2.32898929,Serdinya
347,"66122","102",42.62883667,2.23986384,Nohèdes
790,"66080","128",42.45779270,2.17107703,Fontpédrouse
3312,"66193","126",42.59126986,2.32083217,Serdinya
969,"66221","44",42.51767708,2.49376871,Valmanya
240,"66070","124",42.61436755,2.50006702,Espira-de-Conflent
561,"66147","37",42.56977088,1.79811676,Porté-Puymorens
563,"66147","37",42.57815337,1.83064765,Porté-Puymorens
3917,"66150","110",42.43695599,2.41138241,Prats-de-Mollo-la-Preste
3425,"66193","126",42.58224681,2.30267272,Serdinya
65,"66013","11",42.58041737,2.52855641,Baillestavy
3589,"66193","126",42.59159023,2.31686835,Serdinya
3695,"66085","231",42.57668674,2.36234163,Fuilla
808,"66150","31",42.46465630,2.46763028,Prats-de-Mollo-la-Preste
318,"66230","140",42.64763077,2.52296574,Vinça
1294,"66150","36",42.42226282,2.45501235,Prats-de-Mollo-la-Preste
1306,"66080","128",42.47947820,2.18458358,Fontpédrouse
3919,"66150","110",42.43582896,2.41019905,Prats-de-Mollo-la-Preste
1230,"66119","106",42.70467074,2.30915591,Mosset
2129,"66149","30",42.59476715,2.43048095,Prades
1348,"66147","37",42.56605072,1.78008912,Porté-Puymorens
1403,"66086","11",42.58006563,2.53581431,Glorianes
3920,"66150","110",42.41916760,2.45786921,Prats-de-Mollo-la-Preste
629,"66128","55",42.59949961,2.20420988,Oreilla
2135,"66074","112",42.67188209,2.45846127,Eus
3590,"66149","30",42.60302735,2.43426300,Prades
1409,"66150","35",42.40987794,2.36786668,Prats-de-Mollo-la-Preste
1079,"66176","153",42.81515815,2.95860085,Saint-Hippolyte
1410,"66150","35",42.40899757,2.37372230,Prats-de-Mollo-la-Preste
1311,"66191","142",42.62052789,2.18252638,Sansa
84,"66074","20",42.67437601,2.42024252,Eus
1081,"66176","153",42.81276831,2.96232082,Saint-Hippolyte
1289,"66066","17",42.50685086,1.89213733,Enveitg
49,"66074","20",42.67619107,2.42990298,Eus
2137,"66112","28",42.59117372,2.72553807,Montauriol
1312,"66191","142",42.61807258,2.18528361,Sansa
652,"66090","93",42.57633916,2.28090025,Jujols
1315,"66119","122",42.68643553,2.27171033,Mosset
1329,"66122","149",42.64187657,2.23118599,Nohèdes
1065,"66074","20",42.67190093,2.44138934,Eus
70,"66122","46",42.63580069,2.25404992,Nohèdes
1316,"66119","122",42.68815536,2.27228195,Mosset
1392,"66193","126",42.59507720,2.31765603,Serdinya
211,"66074","20",42.68145263,2.42912137,Eus
1391,"66119","106",42.69968055,2.29229454,Mosset
1346,"66147","37",42.56242539,1.79165074,Porté-Puymorens
100,"66119","25",42.68769600,2.36623844,Mosset
2145,"66090","56",42.58164391,2.27901595,Jujols
455,"66122","149",42.64131813,2.23764811,Nohèdes
3507,"66122","222",42.63670809,2.25998391,Nohèdes
556,"66122","149",42.64007210,2.23928839,Nohèdes
682,"66161","177",42.59559502,2.38996149,Ria-Sirach
1370,"66198","2",42.74237724,2.42893818,Sournia
3752,"66147","37",42.56731593,1.80935760,Porté-Puymorens
54,"66125","8",42.62700646,2.20759307,Olette
656,"66125","168",42.57447154,2.23666419,Olette
2146,"66090","56",42.57798038,2.27657714,Jujols
1116,"66150","31",42.46001227,2.42397028,Prats-de-Mollo-la-Preste
10,"66043","13",42.50228894,2.44090652,Casteil
239,"66119","106",42.69661918,2.27391367,Mosset
1384,"66066","17",42.50779501,1.87453812,Enveitg
111,"66150","76",42.43836006,2.40650326,Prats-de-Mollo-la-Preste
1961,"66057","114",42.58371486,2.38536218,Corneilla-de-Conflent
2148,"66095","184",42.49852606,1.86545502,Latour-de-Carol
143,"66072","45",42.47661024,2.01479387,Estavar
1422,"66066","17",42.49788570,1.87347747,Enveitg
3528,"66190","228",42.83536698,2.82902789,Salses-le-Château
1267,"66206","23",42.47583876,2.47255650,Le Tech
1425,"66122","46",42.63877481,2.25542298,Nohèdes
1325,"66122","118",42.62422453,2.30454430,Nohèdes
1423,"66066","17",42.50232881,1.87419864,Enveitg
1560,"66150","32",42.43349595,2.36790183,Prats-de-Mollo-la-Preste
4015,"66022","209",42.56792924,2.57166896,Boule-d'Amont
2122,"66150","76",42.44994245,2.41206369,Prats-de-Mollo-la-Preste
564,"66206","108",42.43812536,2.51837477,Le Tech
2124,"66150","76",42.45084596,2.40838940,Prats-de-Mollo-la-Preste
2125,"66150","76",42.45065779,2.40983648,Prats-de-Mollo-la-Preste
2217,"66221","44",42.52591063,2.48796524,Valmanya
2226,"66221","44",42.52508490,2.49296952,Valmanya
2157,"66119","208",42.63686246,2.35331870,Mosset
661,"66090","178",42.57313802,2.27564705,Jujols
1269,"66206","23",42.46795506,2.47684405,Le Tech
731,"66057","114",42.58194357,2.38726789,Corneilla-de-Conflent
4009,"66022","209",42.56321530,2.57557962,Boule-d'Amont
348,"66122","149",42.63307990,2.23154552,Nohèdes
2409,"66150","32",42.43101586,2.36234644,Prats-de-Mollo-la-Preste
4010,"66022","209",42.56202137,2.58075750,Boule-d'Amont
4011,"66022","209",42.56649915,2.58438258,Boule-d'Amont
4016,"66022","209",42.56823309,2.57929372,Boule-d'Amont
767,"66147","95",42.55775060,1.83366274,Porté-Puymorens
149,"66095","98",42.48487412,1.85641056,Latour-de-Carol
